timestam,TP9,AF7,AF8,TP10,AUX,Marker
231.00390625,-33.69140625,-49.31640625,-32.71484375,-28.3203125,-185.05859375,0.0
231.0078125,-41.9921875,-40.52734375,-29.78515625,-20.5078125,-112.79296875,0.0
231.01171875,-34.1796875,-37.59765625,-33.203125,-24.4140625,-92.28515625,0.0
231.015625,-16.6015625,-33.69140625,-29.78515625,-23.4375,-59.5703125,0.0
231.01953125,-7.32421875,-29.78515625,-15.13671875,-12.20703125,-24.90234375,0.0
231.0234375,-21.484375,-41.50390625,-17.08984375,-25.87890625,3.90625,0.0
231.02734375,-32.2265625,-44.43359375,-26.85546875,-36.1328125,8.7890625,0.0
231.03125,-31.25,-46.38671875,-40.52734375,-38.0859375,10.25390625,0.0
231.03515625,-26.3671875,-46.875,-31.25,-41.9921875,93.26171875,0.0
231.0390625,-20.01953125,-36.1328125,-19.04296875,-33.203125,88.37890625,0.0
231.04296875,-23.92578125,-30.2734375,-20.5078125,-22.94921875,71.2890625,0.0
231.046875,-32.71484375,-34.66796875,-21.484375,-24.4140625,115.234375,0.0
231.05078125,-31.25,-30.76171875,-25.390625,-21.97265625,67.87109375,0.0
231.0546875,-28.80859375,-30.76171875,-30.2734375,-30.76171875,10.25390625,0.0
231.05859375,-16.6015625,-30.2734375,-20.99609375,-28.80859375,42.96875,0.0
231.0625,-28.80859375,-40.0390625,-32.71484375,-30.76171875,110.3515625,0.0
231.06640625,-41.50390625,-48.828125,-45.41015625,-40.0390625,82.03125,0.0
231.0703125,-25.87890625,-35.64453125,-35.64453125,-27.34375,-25.390625,0.0
231.07421875,-21.97265625,-34.1796875,-39.55078125,-32.2265625,-73.2421875,0.0
231.078125,-27.34375,-41.015625,-47.36328125,-44.921875,-71.77734375,0.0
231.08203125,-31.73828125,-44.921875,-40.0390625,-40.52734375,-33.69140625,0.0
231.0859375,-25.87890625,-43.45703125,-24.4140625,-31.73828125,-71.2890625,0.0
231.08984375,-19.53125,-38.57421875,-12.6953125,-30.76171875,-118.65234375,0.0
231.09375,-23.4375,-41.015625,-20.99609375,-34.1796875,-47.8515625,0.0
231.09765625,-31.73828125,-43.45703125,-35.64453125,-34.1796875,-18.5546875,0.0
231.1015625,-28.80859375,-37.59765625,-34.1796875,-31.25,-49.8046875,0.0
231.10546875,-40.52734375,-46.875,-32.71484375,-41.50390625,14.16015625,0.0
231.109375,-41.9921875,-47.8515625,-30.76171875,-35.15625,51.7578125,0.0
231.11328125,-23.4375,-33.203125,-27.34375,-17.578125,-43.45703125,0.0
231.1171875,-19.04296875,-32.2265625,-29.296875,-19.04296875,-39.0625,0.0
231.12109375,-18.06640625,-35.15625,-30.2734375,-20.01953125,66.89453125,0.0
231.125,-27.83203125,-38.0859375,-38.57421875,-18.06640625,-26.85546875,0.0
231.12890625,-34.1796875,-37.109375,-52.24609375,-22.94921875,-140.625,0.0
231.1328125,-16.11328125,-26.3671875,-30.2734375,-16.6015625,-124.51171875,0.0
231.13671875,-3.90625,-22.4609375,-14.16015625,-8.30078125,-34.1796875,0.0
231.140625,-20.99609375,-35.15625,-30.76171875,-20.01953125,18.5546875,0.0
231.14453125,-49.8046875,-45.41015625,-34.1796875,-39.0625,-6.34765625,0.0
231.1484375,-47.8515625,-42.96875,-25.390625,-44.43359375,-49.8046875,0.0
231.15234375,-33.69140625,-36.1328125,-26.3671875,-44.43359375,-81.54296875,0.0
231.15625,-24.4140625,-26.85546875,-30.2734375,-38.57421875,-97.16796875,0.0
231.16015625,-19.53125,-18.06640625,-26.85546875,-29.296875,-85.9375,0.0
231.1640625,-29.78515625,-18.06640625,-22.94921875,-25.390625,-2.9296875,0.0
231.16796875,-39.0625,-24.4140625,-32.71484375,-32.2265625,10.25390625,0.0
231.171875,-35.64453125,-24.4140625,-39.55078125,-35.64453125,3.41796875,0.0
231.17578125,-23.92578125,-22.94921875,-30.76171875,-29.78515625,-4.39453125,0.0
231.1796875,-11.23046875,-20.01953125,-41.015625,-21.484375,9.27734375,0.0
231.18359375,-17.578125,-18.5546875,-48.828125,-22.4609375,7.8125,0.0
231.1875,-31.25,-27.34375,-40.52734375,-29.78515625,-24.4140625,0.0
231.19140625,-25.390625,-27.34375,-27.83203125,-36.62109375,-18.5546875,0.0
231.1953125,-16.11328125,-15.625,-8.7890625,-35.64453125,-132.32421875,0.0
231.19921875,-30.2734375,-26.3671875,-23.4375,-43.45703125,-207.51953125,0.0
231.203125,-39.0625,-37.109375,-35.64453125,-42.96875,-125.0,0.0
231.20703125,-32.71484375,-29.78515625,-22.94921875,-28.3203125,-62.5,0.0
231.2109375,-28.3203125,-18.06640625,-13.18359375,-25.87890625,2.44140625,0.0
231.21484375,-26.85546875,-18.06640625,-23.4375,-34.1796875,15.625,0.0
231.21875,-22.94921875,-21.484375,-28.80859375,-34.1796875,-65.91796875,0.0
231.22265625,-18.5546875,-27.34375,-23.4375,-28.3203125,-68.84765625,0.0
231.2265625,-27.83203125,-34.1796875,-28.80859375,-31.25,-2.9296875,0.0
231.23046875,-41.9921875,-35.15625,-42.96875,-41.50390625,-74.21875,0.0
231.234375,-33.69140625,-31.73828125,-40.52734375,-42.48046875,-105.46875,0.0
231.23828125,-27.83203125,-30.2734375,-29.78515625,-37.59765625,-61.5234375,0.0
231.2421875,-29.78515625,-29.78515625,-30.2734375,-32.71484375,-27.34375,0.0
231.24609375,-31.73828125,-31.25,-36.62109375,-31.25,-52.24609375,0.0
231.25,-33.69140625,-33.203125,-29.78515625,-38.57421875,-61.03515625,0.0
231.25390625,-37.109375,-38.0859375,-28.3203125,-43.45703125,-58.10546875,0.0
231.2578125,-39.55078125,-34.66796875,-34.1796875,-41.50390625,-36.1328125,0.0
231.26171875,-25.390625,-17.578125,-22.4609375,-28.3203125,20.99609375,0.0
231.265625,-25.87890625,-24.4140625,-22.94921875,-29.78515625,-11.71875,0.0
231.26953125,-38.0859375,-41.015625,-28.80859375,-35.15625,-61.5234375,0.0
231.2734375,-37.59765625,-45.41015625,-31.25,-40.0390625,-116.2109375,0.0
231.27734375,-28.3203125,-37.109375,-27.83203125,-38.0859375,-103.515625,0.0
231.28125,-24.90234375,-26.85546875,-30.2734375,-27.34375,-38.57421875,0.0
231.28515625,-47.8515625,-41.50390625,-46.38671875,-37.109375,-15.13671875,0.0
231.2890625,-52.24609375,-45.8984375,-43.9453125,-48.828125,-30.2734375,0.0
231.29296875,-34.66796875,-39.55078125,-41.015625,-48.33984375,-72.75390625,0.0
231.296875,-24.90234375,-34.66796875,-36.62109375,-39.0625,-52.734375,0.0
231.30078125,-16.6015625,-18.06640625,-19.53125,-27.34375,27.34375,0.0
231.3046875,-25.87890625,-17.578125,-23.4375,-23.92578125,82.51953125,0.0
231.30859375,-31.73828125,-29.78515625,-37.59765625,-23.92578125,-23.92578125,0.0
231.3125,-21.97265625,-20.5078125,-22.4609375,-17.578125,-94.7265625,0.0
231.31640625,-29.296875,-24.90234375,-16.11328125,-26.85546875,-26.3671875,0.0
231.3203125,-27.83203125,-29.78515625,-28.80859375,-31.25,5.37109375,0.0
231.32421875,-27.83203125,-26.85546875,-31.25,-24.4140625,-4.39453125,0.0
231.328125,-44.921875,-31.25,-44.43359375,-26.85546875,-1.953125,0.0
231.33203125,-40.52734375,-31.73828125,-41.9921875,-30.76171875,-41.9921875,0.0
231.3359375,-28.3203125,-29.296875,-19.04296875,-30.2734375,-127.44140625,0.0
231.33984375,-33.203125,-30.76171875,-28.3203125,-30.2734375,-117.67578125,0.0
231.34375,-30.2734375,-29.78515625,-32.2265625,-26.85546875,-61.5234375,0.0
231.34765625,-29.296875,-25.390625,-20.5078125,-19.04296875,-27.34375,0.0
231.3515625,-34.1796875,-24.90234375,-22.4609375,-23.4375,-68.84765625,0.0
231.35546875,-28.3203125,-31.73828125,-25.390625,-34.66796875,-5.37109375,0.0
231.359375,-28.3203125,-38.57421875,-32.2265625,-32.2265625,11.23046875,0.0
231.36328125,-33.69140625,-39.0625,-33.203125,-32.2265625,-20.5078125,0.0
231.3671875,-33.203125,-34.1796875,-33.69140625,-26.3671875,-45.8984375,0.0
231.37109375,-39.0625,-31.73828125,-34.1796875,-25.87890625,-54.6875,0.0
231.375,-36.62109375,-33.203125,-29.78515625,-35.64453125,43.45703125,0.0
231.37890625,-25.390625,-28.80859375,-29.296875,-26.3671875,32.2265625,0.0
231.3828125,-37.109375,-32.71484375,-27.83203125,-29.78515625,-16.6015625,0.0
231.38671875,-47.8515625,-34.66796875,-24.90234375,-40.0390625,-18.06640625,0.0
231.390625,-35.15625,-25.390625,-21.484375,-31.73828125,-30.76171875,0.0
231.39453125,-25.87890625,-21.484375,-22.94921875,-28.3203125,-29.78515625,0.0
231.3984375,-26.85546875,-18.5546875,-21.484375,-27.34375,22.94921875,0.0
231.40234375,-41.50390625,-29.78515625,-28.80859375,-28.80859375,21.484375,0.0
231.40625,-51.26953125,-41.015625,-43.45703125,-36.62109375,-40.0390625,0.0
231.41015625,-36.1328125,-34.66796875,-30.76171875,-25.390625,-56.640625,0.0
231.4140625,-18.06640625,-23.92578125,-16.11328125,-14.6484375,-55.6640625,0.0
231.41796875,-25.390625,-28.3203125,-20.01953125,-23.92578125,-37.59765625,0.0
231.421875,-31.73828125,-30.2734375,-21.97265625,-24.90234375,-13.18359375,0.0
231.42578125,-35.15625,-30.2734375,-25.390625,-26.3671875,-85.44921875,0.0
231.4296875,-29.78515625,-23.92578125,-10.7421875,-19.04296875,-39.55078125,0.0
231.43359375,-29.296875,-23.92578125,-20.01953125,-26.3671875,-4.8828125,0.0
231.4375,-34.1796875,-31.25,-41.015625,-41.50390625,-129.39453125,0.0
231.44140625,-20.99609375,-24.90234375,-22.94921875,-29.296875,-88.8671875,0.0
231.4453125,-28.80859375,-24.90234375,-18.06640625,-30.2734375,-81.0546875,0.0
231.44921875,-41.50390625,-32.71484375,-28.3203125,-38.57421875,-121.58203125,0.0
231.453125,-32.2265625,-29.78515625,-30.2734375,-33.203125,-45.41015625,0.0
231.45703125,-32.71484375,-27.34375,-28.80859375,-32.2265625,-33.69140625,0.0
231.4609375,-27.83203125,-25.390625,-22.94921875,-33.69140625,51.7578125,0.0
231.46484375,-22.94921875,-24.4140625,-27.34375,-33.69140625,67.3828125,0.0
231.46875,-32.71484375,-28.80859375,-37.59765625,-31.25,-35.15625,0.0
231.47265625,-24.90234375,-20.5078125,-21.97265625,-26.3671875,-40.52734375,0.0
231.4765625,-27.83203125,-22.94921875,-21.97265625,-37.109375,-107.421875,0.0
