timestam,TP9,AF7,AF8,TP10,AUX,Marker
349.00390625,-43.9453125,-39.0625,-48.33984375,-33.203125,-36.1328125,0.0
349.0078125,-36.1328125,-40.52734375,-49.8046875,-32.2265625,39.0625,0.0
349.01171875,-7.8125,-23.92578125,-42.48046875,-15.625,85.9375,0.0
349.015625,4.8828125,-16.11328125,-27.34375,-9.27734375,-26.85546875,0.0
349.01953125,-17.578125,-23.92578125,-37.59765625,-17.578125,-38.57421875,0.0
349.0234375,-36.62109375,-42.96875,-52.24609375,-30.2734375,-20.5078125,0.0
349.02734375,-21.484375,-37.109375,-32.2265625,-22.4609375,-97.16796875,0.0
349.03125,-10.7421875,-23.4375,-28.3203125,-20.99609375,-63.96484375,0.0
349.03515625,-19.04296875,-28.3203125,-37.109375,-35.15625,-10.7421875,0.0
349.0390625,-28.80859375,-30.76171875,-33.69140625,-31.73828125,-108.3984375,0.0
349.04296875,-24.4140625,-28.3203125,-30.76171875,-27.34375,-129.8828125,0.0
349.046875,-25.390625,-36.1328125,-31.25,-33.69140625,-140.625,0.0
349.05078125,-23.92578125,-37.109375,-34.1796875,-33.69140625,-140.13671875,0.0
349.0546875,-14.16015625,-22.94921875,-37.59765625,-28.80859375,-41.9921875,0.0
349.05859375,-20.99609375,-24.4140625,-34.1796875,-16.6015625,18.5546875,0.0
349.0625,-30.76171875,-33.69140625,-34.66796875,-18.06640625,-54.6875,0.0
349.06640625,-30.76171875,-39.55078125,-37.109375,-27.83203125,-153.3203125,0.0
349.0703125,-17.578125,-35.64453125,-29.296875,-19.53125,-75.1953125,0.0
349.07421875,-3.41796875,-31.25,-28.3203125,-10.25390625,4.8828125,0.0
349.078125,-16.11328125,-39.0625,-32.71484375,-18.5546875,-31.73828125,0.0
349.08203125,-36.62109375,-40.0390625,-29.78515625,-27.34375,36.62109375,0.0
349.0859375,-35.15625,-38.57421875,-34.66796875,-31.25,41.50390625,0.0
349.08984375,-10.7421875,-29.296875,-34.66796875,-29.78515625,-69.3359375,0.0
349.09375,2.9296875,-16.6015625,-33.203125,-23.4375,-44.921875,0.0
349.09765625,-11.23046875,-21.484375,-30.2734375,-26.85546875,7.32421875,0.0
349.1015625,-30.76171875,-30.2734375,-24.4140625,-34.1796875,-57.6171875,0.0
349.10546875,-28.80859375,-33.203125,-20.99609375,-33.69140625,-130.37109375,0.0
349.109375,-18.06640625,-35.64453125,-33.203125,-34.66796875,-66.40625,0.0
349.11328125,-12.20703125,-36.62109375,-35.64453125,-33.203125,-41.50390625,0.0
349.1171875,-21.484375,-30.76171875,-24.4140625,-29.296875,-42.96875,0.0
349.12109375,-38.0859375,-29.78515625,-26.85546875,-31.73828125,-36.1328125,0.0
349.125,-43.9453125,-34.66796875,-36.62109375,-39.55078125,-110.83984375,0.0
349.12890625,-38.0859375,-35.15625,-41.015625,-41.015625,-49.8046875,0.0
349.1328125,-26.3671875,-32.71484375,-41.015625,-40.52734375,-34.1796875,0.0
349.13671875,-29.296875,-28.80859375,-41.9921875,-37.59765625,-62.01171875,0.0
349.140625,-37.59765625,-28.80859375,-42.48046875,-34.66796875,-37.109375,0.0
349.14453125,-46.875,-36.62109375,-34.1796875,-44.43359375,-50.29296875,0.0
349.1484375,-42.48046875,-32.71484375,-24.90234375,-47.36328125,-4.39453125,0.0
349.15234375,-23.92578125,-26.85546875,-23.4375,-31.73828125,-0.9765625,0.0
349.15625,-24.90234375,-37.59765625,-24.90234375,-23.4375,-15.13671875,0.0
349.16015625,-37.109375,-36.1328125,-27.34375,-29.296875,13.671875,0.0
349.1640625,-38.57421875,-36.1328125,-33.69140625,-38.0859375,-22.94921875,0.0
349.16796875,-28.80859375,-41.015625,-37.59765625,-41.9921875,-68.84765625,0.0
349.171875,-24.4140625,-33.203125,-36.62109375,-40.52734375,-2.44140625,0.0
349.17578125,-27.83203125,-23.92578125,-31.25,-36.1328125,-27.83203125,0.0
349.1796875,-39.55078125,-26.85546875,-32.2265625,-37.109375,-84.47265625,0.0
349.18359375,-52.734375,-38.57421875,-37.109375,-46.875,-126.953125,0.0
349.1875,-42.96875,-33.69140625,-34.66796875,-47.8515625,-114.2578125,0.0
349.19140625,-30.2734375,-26.3671875,-29.78515625,-43.9453125,-3.41796875,0.0
349.1953125,-21.97265625,-27.83203125,-36.62109375,-39.55078125,-0.9765625,0.0
349.19921875,-24.4140625,-24.4140625,-40.52734375,-32.71484375,-109.375,0.0
349.203125,-39.55078125,-30.76171875,-35.15625,-41.9921875,-196.77734375,0.0
349.20703125,-31.73828125,-38.57421875,-30.2734375,-42.96875,-187.5,0.0
349.2109375,-16.11328125,-35.64453125,-28.3203125,-39.55078125,-181.15234375,0.0
349.21484375,-17.08984375,-28.80859375,-34.66796875,-44.921875,-80.56640625,0.0
349.21875,-31.25,-23.4375,-34.66796875,-40.52734375,-3.41796875,0.0
349.22265625,-49.8046875,-35.15625,-35.15625,-45.41015625,-115.72265625,0.0
349.2265625,-44.43359375,-34.66796875,-33.203125,-44.43359375,-146.484375,0.0
349.23046875,-29.78515625,-29.296875,-41.50390625,-40.52734375,-81.54296875,0.0
349.234375,-23.92578125,-28.3203125,-41.015625,-37.109375,-21.97265625,0.0
349.23828125,-30.2734375,-23.4375,-34.66796875,-25.390625,-25.87890625,0.0
349.2421875,-53.22265625,-34.1796875,-37.59765625,-34.66796875,-16.11328125,0.0
349.24609375,-55.6640625,-41.50390625,-28.3203125,-41.015625,-1.46484375,0.0
349.25,-40.52734375,-33.69140625,-31.25,-35.15625,39.0625,0.0
349.25390625,-34.66796875,-30.2734375,-38.0859375,-34.1796875,66.89453125,0.0
349.2578125,-41.50390625,-35.15625,-30.2734375,-38.57421875,61.5234375,0.0
349.26171875,-57.6171875,-47.36328125,-33.69140625,-48.33984375,61.5234375,0.0
349.265625,-62.5,-43.45703125,-37.59765625,-43.9453125,-45.8984375,0.0
349.26953125,-50.29296875,-32.71484375,-31.73828125,-39.55078125,-64.453125,0.0
349.2734375,-39.0625,-34.1796875,-36.1328125,-44.43359375,72.265625,0.0
349.27734375,-33.69140625,-29.296875,-33.203125,-36.1328125,105.95703125,0.0
349.28125,-43.9453125,-27.34375,-28.80859375,-38.0859375,6.8359375,0.0
349.28515625,-46.875,-32.71484375,-35.15625,-54.6875,-74.70703125,0.0
349.2890625,-38.57421875,-31.25,-46.38671875,-59.08203125,-67.87109375,0.0
349.29296875,-24.90234375,-15.625,-45.8984375,-40.0390625,-105.95703125,0.0
349.296875,-22.4609375,-10.7421875,-37.109375,-28.80859375,-121.09375,0.0
349.30078125,-45.41015625,-30.2734375,-39.0625,-39.0625,-192.3828125,0.0
349.3046875,-57.6171875,-47.36328125,-46.875,-52.734375,-216.796875,0.0
349.30859375,-40.0390625,-40.0390625,-41.50390625,-48.33984375,-186.03515625,0.0
349.3125,-23.92578125,-27.34375,-29.78515625,-32.2265625,-104.4921875,0.0
349.31640625,-38.0859375,-35.15625,-35.64453125,-31.73828125,-35.15625,0.0
349.3203125,-46.38671875,-40.52734375,-38.0859375,-34.66796875,-72.75390625,0.0
349.32421875,-43.45703125,-40.52734375,-36.1328125,-37.59765625,-37.59765625,0.0
349.328125,-45.8984375,-37.59765625,-31.25,-41.9921875,31.73828125,0.0
349.33203125,-29.78515625,-21.97265625,-24.4140625,-31.73828125,73.2421875,0.0
