timestam,TP9,AF7,AF8,TP10,AUX,Marker
290.00390625,-18.5546875,-24.90234375,-25.87890625,-43.9453125,-17.578125,0.0
290.0078125,-9.765625,-30.76171875,-31.25,-44.43359375,19.04296875,0.0
290.01171875,-20.99609375,-37.109375,-29.78515625,-45.8984375,4.8828125,0.0
290.015625,-43.9453125,-34.66796875,-30.2734375,-40.0390625,36.1328125,0.0
290.01953125,-42.48046875,-36.1328125,-46.38671875,-35.15625,46.875,0.0
290.0234375,-30.2734375,-41.50390625,-45.8984375,-33.69140625,-76.66015625,0.0
290.02734375,-26.85546875,-39.55078125,-35.64453125,-36.62109375,-46.875,0.0
290.03125,-32.71484375,-38.0859375,-42.96875,-36.1328125,37.109375,0.0
290.03515625,-35.64453125,-37.59765625,-40.52734375,-28.80859375,5.859375,0.0
290.0390625,-35.64453125,-36.62109375,-26.85546875,-34.66796875,-23.92578125,0.0
290.04296875,-30.2734375,-37.109375,-24.90234375,-41.9921875,-73.2421875,0.0
290.046875,-25.87890625,-33.69140625,-32.71484375,-36.62109375,-36.62109375,0.0
290.05078125,-26.85546875,-27.83203125,-33.203125,-32.2265625,54.19921875,0.0
290.0546875,-37.109375,-26.85546875,-27.83203125,-32.71484375,40.52734375,0.0
290.05859375,-46.875,-29.78515625,-26.3671875,-29.78515625,-12.20703125,0.0
290.0625,-38.0859375,-34.66796875,-34.66796875,-28.3203125,33.203125,0.0
290.06640625,-19.53125,-29.78515625,-39.55078125,-24.90234375,-17.578125,0.0
290.0703125,-17.08984375,-26.85546875,-32.71484375,-20.5078125,-135.7421875,0.0
290.07421875,-24.4140625,-28.80859375,-26.3671875,-17.08984375,-39.55078125,0.0
290.078125,-40.0390625,-36.1328125,-26.85546875,-23.4375,35.15625,0.0
290.08203125,-38.57421875,-39.0625,-40.0390625,-27.34375,14.6484375,0.0
290.0859375,-24.90234375,-38.0859375,-39.0625,-23.4375,3.41796875,0.0
290.08984375,-26.3671875,-36.1328125,-20.5078125,-22.94921875,0.0,0.0
290.09375,-35.64453125,-31.73828125,-12.6953125,-21.484375,-93.26171875,0.0
290.09765625,-37.109375,-33.203125,-15.625,-21.484375,-219.23828125,0.0
290.1015625,-23.92578125,-27.34375,-19.53125,-24.90234375,-141.11328125,0.0
290.10546875,-9.765625,-28.3203125,-26.85546875,-32.2265625,-46.38671875,0.0
290.109375,-6.8359375,-35.15625,-37.109375,-33.203125,6.8359375,0.0
290.11328125,-30.2734375,-28.80859375,-39.55078125,-28.80859375,35.64453125,0.0
290.1171875,-49.31640625,-21.97265625,-33.203125,-28.80859375,-33.203125,0.0
290.12109375,-39.55078125,-22.4609375,-31.25,-30.2734375,-89.84375,0.0
