timestamp,TP9,AF7,AF8,TP10,AUX,Marker
650.00390625,-28.80859375,-37.109375,-28.3203125,-30.76171875,7.32421875,0.0
650.0078125,-24.90234375,-33.203125,-33.69140625,-31.25,-21.484375,0.0
650.01171875,-37.109375,-32.71484375,-39.0625,-31.25,-108.3984375,0.0
650.015625,-42.96875,-30.2734375,-36.1328125,-29.78515625,-77.63671875,0.0
650.01953125,-37.109375,-33.203125,-28.3203125,-28.3203125,-0.9765625,0.0
650.0234375,-20.99609375,-33.203125,-29.296875,-25.390625,-22.94921875,0.0
650.02734375,-19.53125,-28.3203125,-31.25,-25.87890625,-51.26953125,0.0
650.03125,-27.83203125,-27.83203125,-27.83203125,-31.73828125,-39.55078125,0.0
650.03515625,-31.25,-29.78515625,-34.1796875,-31.73828125,-58.10546875,0.0
650.0390625,-30.2734375,-25.390625,-42.96875,-34.1796875,-3.90625,0.0
650.04296875,-24.90234375,-21.484375,-40.0390625,-37.59765625,52.24609375,0.0
650.046875,-25.87890625,-29.78515625,-32.71484375,-37.59765625,47.8515625,0.0
650.05078125,-24.90234375,-27.83203125,-31.73828125,-33.203125,57.12890625,0.0
650.0546875,-24.90234375,-20.99609375,-34.1796875,-30.76171875,44.43359375,0.0
650.05859375,-30.2734375,-28.3203125,-33.69140625,-30.76171875,11.23046875,0.0
650.0625,-26.85546875,-37.109375,-32.71484375,-32.71484375,-60.546875,0.0
650.06640625,-16.6015625,-29.296875,-25.87890625,-26.3671875,-20.5078125,0.0
650.0703125,-24.90234375,-28.80859375,-24.4140625,-27.34375,-26.85546875,0.0
650.07421875,-36.1328125,-30.2734375,-24.4140625,-25.87890625,-39.55078125,0.0
650.078125,-31.73828125,-27.83203125,-26.3671875,-23.4375,4.39453125,0.0
650.08203125,-27.34375,-30.2734375,-28.3203125,-32.71484375,0.9765625,0.0
650.0859375,-25.390625,-26.85546875,-24.90234375,-37.59765625,-3.90625,0.0
650.08984375,-38.0859375,-34.66796875,-26.85546875,-41.50390625,-38.57421875,0.0
650.09375,-51.26953125,-39.55078125,-32.2265625,-44.43359375,-80.078125,0.0
650.09765625,-43.9453125,-28.3203125,-33.203125,-41.015625,-33.203125,0.0
650.1015625,-28.3203125,-27.34375,-25.87890625,-30.2734375,-87.890625,0.0
650.10546875,-22.4609375,-33.203125,-26.3671875,-31.25,-102.5390625,0.0
650.109375,-27.34375,-30.2734375,-36.62109375,-35.15625,-26.3671875,0.0
650.11328125,-43.45703125,-32.71484375,-38.0859375,-35.15625,9.765625,0.0
