timestam,TP9,AF7,AF8,TP10,AUX,Marker
152.00390625,20.5078125,-38.57421875,-46.38671875,6.8359375,-13.18359375,0.0
152.0078125,24.4140625,-32.71484375,-49.31640625,7.32421875,-51.7578125,0.0
152.01171875,13.18359375,-32.71484375,-36.62109375,-4.8828125,-1.953125,0.0
152.015625,10.25390625,-28.80859375,-39.0625,-1.46484375,-57.12890625,0.0
152.01953125,2.44140625,-24.4140625,-44.43359375,20.99609375,-65.4296875,0.0
152.0234375,-3.41796875,-22.94921875,-34.1796875,12.6953125,-77.63671875,0.0
152.02734375,4.8828125,-20.99609375,-35.15625,-3.90625,-98.6328125,0.0
152.03125,0.9765625,-25.87890625,-41.015625,-6.8359375,-31.73828125,0.0
152.03515625,-7.8125,-35.15625,-28.80859375,-6.34765625,-32.71484375,0.0
152.0390625,-11.23046875,-35.64453125,-24.90234375,-5.37109375,-73.2421875,0.0
152.04296875,-14.6484375,-30.2734375,-39.0625,-18.5546875,-81.0546875,0.0
152.046875,-2.44140625,-33.69140625,-39.0625,-19.04296875,-98.14453125,0.0
152.05078125,1.953125,-34.66796875,-38.0859375,-8.30078125,-61.5234375,0.0
152.0546875,-10.25390625,-32.2265625,-34.66796875,-11.71875,-28.3203125,0.0
152.05859375,-8.7890625,-26.85546875,-30.2734375,-3.90625,-13.671875,0.0
152.0625,-10.25390625,-21.97265625,-37.109375,3.90625,-5.859375,0.0
152.06640625,-10.25390625,-24.4140625,-38.57421875,0.0,-55.6640625,0.0
152.0703125,1.46484375,-34.1796875,-38.0859375,-6.8359375,-58.10546875,0.0
152.07421875,-2.44140625,-34.1796875,-49.8046875,-8.30078125,19.04296875,0.0
152.078125,-12.6953125,-30.76171875,-48.828125,0.9765625,39.0625,0.0
152.08203125,18.5546875,-27.34375,-29.78515625,37.59765625,-85.44921875,0.0
152.0859375,26.3671875,-16.6015625,-20.99609375,32.2265625,-71.2890625,0.0
152.08984375,-31.25,-23.92578125,-26.3671875,-28.3203125,-12.20703125,0.0
152.09375,-49.31640625,-25.87890625,-36.62109375,-53.7109375,-50.29296875,0.0
152.09765625,-45.8984375,-18.06640625,-36.1328125,-56.15234375,-53.22265625,0.0
152.1015625,-58.10546875,-23.92578125,-19.04296875,-60.546875,-8.7890625,0.0
152.10546875,-66.89453125,-29.296875,-36.62109375,-69.3359375,-20.99609375,0.0
152.109375,-74.21875,-28.3203125,-52.734375,-82.51953125,-116.2109375,0.0
152.11328125,-75.1953125,-23.4375,-44.921875,-85.44921875,-105.95703125,0.0
152.1171875,-77.1484375,-23.92578125,-43.9453125,-79.58984375,1.46484375,0.0
152.12109375,-70.80078125,-25.390625,-44.43359375,-68.84765625,49.31640625,0.0
152.125,-59.5703125,-24.90234375,-44.921875,-61.5234375,9.765625,0.0
152.12890625,-50.29296875,-32.71484375,-43.9453125,-54.19921875,-23.4375,0.0
152.1328125,-45.41015625,-38.0859375,-49.31640625,-50.29296875,-49.8046875,0.0
152.13671875,-47.36328125,-33.203125,-49.8046875,-46.38671875,8.7890625,0.0
152.140625,-45.41015625,-27.34375,-42.96875,-35.15625,24.4140625,0.0
152.14453125,-41.015625,-31.73828125,-34.66796875,-37.109375,-132.8125,0.0
152.1484375,-33.69140625,-37.59765625,-36.1328125,-40.52734375,-146.484375,0.0
152.15234375,-28.3203125,-29.296875,-41.50390625,-33.69140625,-35.15625,0.0
152.15625,-32.71484375,-26.85546875,-39.55078125,-27.34375,-88.8671875,0.0
152.16015625,-37.59765625,-31.25,-36.62109375,-25.390625,-87.890625,0.0
152.1640625,-31.73828125,-28.80859375,-37.59765625,-24.4140625,-16.11328125,0.0
152.16796875,-35.15625,-29.78515625,-38.0859375,-23.92578125,-70.3125,0.0
152.171875,-41.50390625,-35.15625,-36.1328125,-31.73828125,-84.9609375,0.0
152.17578125,-37.59765625,-38.57421875,-30.2734375,-24.4140625,-40.0390625,0.0
152.1796875,-33.69140625,-37.59765625,-31.73828125,-17.578125,-96.6796875,0.0
152.18359375,-36.1328125,-34.1796875,-42.96875,-20.99609375,-168.45703125,0.0
152.1875,-32.71484375,-41.50390625,-44.43359375,-23.92578125,-106.4453125,0.0
152.19140625,-27.34375,-44.43359375,-33.69140625,-21.97265625,-75.1953125,0.0
152.1953125,-34.66796875,-36.1328125,-34.1796875,-26.3671875,-88.8671875,0.0
152.19921875,-36.62109375,-33.203125,-37.59765625,-25.87890625,-80.56640625,0.0
152.203125,-26.3671875,-27.83203125,-20.01953125,-18.06640625,-66.89453125,0.0
152.20703125,-16.6015625,-27.34375,-17.08984375,-33.203125,-54.6875,0.0
152.2109375,-16.6015625,-33.203125,-45.8984375,-41.9921875,-78.125,0.0
152.21484375,-13.18359375,-29.296875,-44.43359375,-30.76171875,-67.3828125,0.0
152.21875,-20.5078125,-29.78515625,-41.015625,-17.578125,42.96875,0.0
152.22265625,-33.203125,-32.71484375,-43.45703125,-20.01953125,46.875,0.0
152.2265625,-26.3671875,-29.296875,-40.0390625,-19.53125,-122.0703125,0.0
152.23046875,-20.99609375,-24.90234375,-40.52734375,-22.4609375,-100.09765625,0.0
152.234375,-22.94921875,-23.4375,-24.90234375,-37.59765625,-56.640625,0.0
152.23828125,-26.3671875,-23.4375,-23.4375,-38.0859375,-63.4765625,0.0
152.2421875,-35.15625,-25.390625,-33.203125,-31.25,15.13671875,0.0
152.24609375,-35.15625,-42.48046875,-34.1796875,-30.76171875,-16.11328125,0.0
152.25,-23.92578125,-35.64453125,-38.0859375,-27.34375,-30.76171875,0.0
152.25390625,-20.5078125,-21.484375,-39.55078125,-23.4375,2.44140625,0.0
152.2578125,-23.92578125,-24.90234375,-36.1328125,-30.2734375,-1.953125,0.0
152.26171875,-30.2734375,-24.90234375,-35.64453125,-21.97265625,-10.25390625,0.0
152.265625,-15.13671875,-22.4609375,-44.43359375,-5.37109375,-1.46484375,0.0
152.26953125,-18.06640625,-33.69140625,-57.12890625,-25.390625,44.921875,0.0
