timestam,TP9,AF7,AF8,TP10,AUX,Marker
133.00390625,-52.734375,-49.31640625,-35.64453125,-46.875,40.52734375,0.0
133.0078125,-21.484375,-22.4609375,-13.671875,-23.92578125,88.37890625,0.0
133.01171875,-17.08984375,-24.90234375,-17.08984375,-21.97265625,27.83203125,0.0
133.015625,-43.45703125,-49.8046875,-42.96875,-35.64453125,-9.765625,0.0
133.01953125,-62.01171875,-59.08203125,-52.24609375,-43.9453125,37.109375,0.0
133.0234375,-49.31640625,-49.8046875,-47.8515625,-35.64453125,77.63671875,0.0
133.02734375,-27.34375,-42.96875,-40.0390625,-30.2734375,1.46484375,0.0
133.03125,-42.96875,-52.24609375,-44.43359375,-49.31640625,4.39453125,0.0
133.03515625,-55.6640625,-53.7109375,-54.6875,-47.8515625,-30.76171875,0.0
133.0390625,-43.9453125,-47.8515625,-44.43359375,-24.90234375,-56.15234375,0.0
133.04296875,-38.0859375,-50.29296875,-28.3203125,-24.90234375,-24.90234375,0.0
133.046875,-30.2734375,-46.38671875,-28.80859375,-27.83203125,48.33984375,0.0
133.05078125,-17.578125,-27.34375,-33.69140625,-16.11328125,52.24609375,0.0
133.0546875,-31.73828125,-30.2734375,-39.0625,-24.90234375,25.87890625,0.0
133.05859375,-36.62109375,-41.9921875,-34.66796875,-28.80859375,-22.94921875,0.0
133.0625,-22.4609375,-37.59765625,-20.01953125,-24.4140625,-142.08984375,0.0
133.06640625,-13.671875,-26.3671875,-17.08984375,-25.390625,-130.859375,0.0
133.0703125,-20.01953125,-36.1328125,-35.64453125,-36.62109375,-39.55078125,0.0
133.07421875,-32.2265625,-42.96875,-49.8046875,-49.31640625,-76.66015625,0.0
133.078125,-33.69140625,-32.71484375,-42.48046875,-38.0859375,-134.27734375,0.0
133.08203125,-25.87890625,-23.92578125,-23.92578125,-25.390625,-97.65625,0.0
133.0859375,-24.90234375,-23.4375,-20.01953125,-26.85546875,-20.99609375,0.0
133.08984375,-32.71484375,-35.15625,-29.78515625,-33.69140625,30.2734375,0.0
133.09375,-37.59765625,-36.62109375,-28.80859375,-30.76171875,0.9765625,0.0
133.09765625,-48.33984375,-38.0859375,-37.109375,-32.2265625,-44.921875,0.0
